ID,artist,jpg url,born-died,period,school
Medieval_30,PIETRO DI DOMENICO DA MONTEPULCIANO,https://www.wga.hu/art/p/pietro/domenic/madonna1.jpg,(active 1418-1422),Medieval,painter
Medieval_31,"GADDI, Agnolo",https://www.wga.hu/art/g/gaddi/agnolo/various/coronati3.jpg,(c. 1350-1396),Medieval,painter
Medieval_32,NARDO DI CIONE,https://www.wga.hu/art/n/nardo/various/triptycx.jpg,(c. 1320-c. 1365),Medieval,painter
Medieval_33,BARNABA DA MODENA,https://www.wga.hu/art/b/barnaba/fragmen3.jpg,(active 1361-1383),Medieval,painter
Medieval_34,FRANCESCO DI VANNUCCIO,https://www.wga.hu/art/f/franceso/08/crucifix.jpg,(active 1356-89),Medieval,painter
Medieval_35,MASTER of Hohenfurth,https://www.wga.hu/art/m/master/hohenfur/kladsko.jpg,(active 1350-70),Medieval,painter
Medieval_36,MASTER of Monte Oliveto,https://www.wga.hu/art/m/master/monte/triptyc1.jpg,(active 1305-1335),Medieval,painter
Medieval_37,"MATES, Joan",https://www.wga.hu/art/m/mates/sts_john.jpg,(c. 1370-1431),Medieval,painter
Medieval_38,PAOLO VENEZIANO,https://www.wga.hu/art/p/paolo/venezian/poppy.jpg,(before 1300-c. 1360),Medieval,painter
Medieval_39,THEOPHANES the Cretan,https://www.wga.hu/art/t/theophax/ascensio.jpg,(active 1527-1559),Medieval,painter
Medieval_40,GIOVANNI DAL PONTE,https://www.wga.hu/art/g/giovanni/ponte/coronati.jpg,(1385-c. 1438),Medieval,painter
Medieval_41,MASTER of the Blue Crucifixes,https://www.wga.hu/art/m/master/bluecruc/crucifix.jpg,(active c. 1250),Medieval,painter
Medieval_42,"RUBLYOV, Andrey",https://www.wga.hu/art/r/rublyov/trinity.jpg,(c. 1360-1430),Medieval,painter
Medieval_43,MASTER of the Palazzo Venezia Madonna,https://www.wga.hu/art/m/master/palazzo/madonna.jpg,(active c. 1350),Medieval,painter
Medieval_44,GUIDO DA SIENA,https://www.wga.hu/art/g/guido/08poly.jpg,(active second half 13th cent.),Medieval,painter
Medieval_45,GIOVANNI DI BARTOLOMEO CRISTIANI,https://www.wga.hu/art/g/giovanni/bartolom/s_thomas.jpg,(c. 1340-c. 1398),Medieval,painter
Medieval_46,MANFREDINO DA PISTOIA,https://www.wga.hu/art/m/manfred/christ_g.jpg,(active 1280–1293),Medieval,painter
Medieval_47,MASTER of San Lucchese,https://www.wga.hu/art/m/master/san_lucc/coronat.jpg,(active 1340-1370),Medieval,painter
Medieval_48,MASTER of San Francesco Bardi,https://www.wga.hu/art/m/master/san_fran/stigmata.jpg,(active 1240-1270),Medieval,painter
Medieval_49,"BASSA, Ferrer",https://www.wga.hu/art/b/bassa/ferrer/3women.jpg,(active 1324-1348),Medieval,painter
Medieval_50,MASTER of the Borgo Crucifix,https://www.wga.hu/art/m/master/borgo/borgo1.jpg,(active 1250-1270),Medieval,painter
Medieval_51,GUARIENTO d'Arpo,https://www.wga.hu/art/g/guarient/arpo1.jpg,(active 1338-1368),Medieval,painter
Medieval_52,SIMONE DEI CROCEFISSI,https://www.wga.hu/art/s/simone_d/coronati.jpg,(c. 1330-1399),Medieval,painter
Medieval_53,SPINELLO ARETINO,https://www.wga.hu/art/s/spinello/spinello/various/alexandc.jpg,(c. 1345-1410),Medieval,painter
Medieval_54,COPPO DI MARCOVALDO,https://www.wga.hu/art/c/coppo/cruci_sg.jpg,(c. 1225-c. 1274),Medieval,painter
Medieval_55,"TSAFOURIS, Nikolaos",https://www.wga.hu/art/t/tsafouri/triptych.jpg,(?-1501),Medieval,painter
Medieval_56,"GADDI, Taddeo",https://www.wga.hu/art/g/gaddi/taddeo/panels/panel2.jpg,(1300-1366),Medieval,painter
Medieval_57,GUGLIELMO VENEZIANO,https://www.wga.hu/art/g/gugliel/wings.jpg,(active 1352-1382),Medieval,painter
Medieval_58,MARGARITO D'AREZZO,https://www.wga.hu/art/m/margarit/madonna1.jpg,(active 1250-1290),Medieval,painter
Medieval_59,GRIFO DI TANCREDI,https://www.wga.hu/art/g/grifo/virgin_c.jpg,(active 1271-1303),Medieval,painter
Medieval_60,MARTINO DI BARTOLOMMEO,https://www.wga.hu/art/m/martino/assumpt.jpg,(active 1389-1435),Medieval,painter
Medieval_61,"SERRA, Pedro",https://www.wga.hu/art/s/serra/pedro/mad_chil.jpg,(active 1363-1399),Medieval,painter
Medieval_62,CIMABUE,https://www.wga.hu/art/c/cimabue/madonna/madonna.jpg,(c. 1240-c. 1302),Medieval,painter
Medieval_63,GIOVANNI DA MILANO,https://www.wga.hu/art/g/giovanni/milano/panels/pieta.jpg,(active 1350-69),Medieval,painter
Medieval_64,PALMERINO DI GUIDO,https://www.wga.hu/art/p/palmerin/1nichola.jpg,(active around 1300),Medieval,painter
Medieval_65,DEODATO DI ORLANDI,https://www.wga.hu/art/d/deodato/grado.jpg,(doc. 1284-1315),Medieval,painter
Medieval_66,GIOVANNI DEL BIONDO,https://www.wga.hu/art/g/giovanni/biondo/madonna.jpg,(active 1356-1392),Medieval,painter
Medieval_67,MASTER of the Life of Saint John the Baptist,https://www.wga.hu/art/m/master/life_bap/mad_chil.jpg,(active 1325-1350),Medieval,painter
Medieval_68,NICCOLÒ DI BUONACCORSO,https://www.wga.hu/art/n/niccolo/buonacco/panel1.jpg,(active 1356-1388),Medieval,painter
Medieval_69,MASTER of the Lazzaroni Madonna,https://www.wga.hu/art/m/master/lazzaron/triptych.jpg,(active 1375-1400),Medieval,painter
Medieval_70,DIETISALVI DI SPEME,https://www.wga.hu/art/d/dietisal/virgin_c.jpg,(active 1250-1291),Medieval,painter
Medieval_71,TADDEO DI BARTOLO,https://www.wga.hu/art/t/taddeo/lastjudg.jpg,(1362/63-1422),Medieval,painter
Medieval_72,MASTER of Città di Castello,https://www.wga.hu/art/m/master/citta/crucifix.jpg,(active 1305-1320),Medieval,painter
Medieval_73,SEGNA DI BUONAVENTURE,https://www.wga.hu/art/s/segna/pentapt2.jpg,(doc. 1298-c. 1331),Medieval,painter
Medieval_74,JEAN DE BEAUMETZ,https://www.wga.hu/art/j/jean/beaumetz/christ_c.jpg,(died 1396),Medieval,painter
Medieval_75,COLA DI PETRUCCIOLI,https://www.wga.hu/art/c/cola_p/annuncia.jpg,(active 1372-1401),Medieval,painter
Medieval_76,"AVANZI, Jacopo",https://www.wga.hu/art/a/avanzi/santo.jpg,(active 1363-1384),Medieval,painter
Medieval_77,SIMONE MARTINI,https://www.wga.hu/art/s/simone/4altars/4orvieto/11orviet.jpg,(1280/85-1344),Medieval,painter
Medieval_78,DONATO,https://www.wga.hu/art/d/donato/coronati.jpg,(known 1360-1380),Medieval,painter
Medieval_79,"RUSUTI, Filippo",https://www.wga.hu/art/r/rusuti/facade3.jpg,(active c. 1297-1317),Medieval,painter
Medieval_80,"BONSI, Giovanni",https://www.wga.hu/art/b/bonsi/stnichol.jpg,(active 1351-1375),Medieval,painter
Medieval_81,MATTEO DI PACINO,https://www.wga.hu/art/m/matteo_p/appariti.jpg,(active 1359-1374),Medieval,painter
Medieval_82,ANDREA di Vanni d'Andrea,https://www.wga.hu/art/a/andrea/vanni/st_peter.jpg,(c. 1332-1414),Medieval,painter
Medieval_83,"JAQUERIO, Giacomo",https://www.wga.hu/art/j/jaquerio/carrying.jpg,(c. 1380-1453),Medieval,painter
Medieval_84,MASTER of Saint Cecilia,https://www.wga.hu/art/m/master/cecilia/franc27.jpg,(active 1300-1320),Medieval,painter
Medieval_85,"BERLINGHIERI, Bonaventura",https://www.wga.hu/art/b/berlingh/mad_cruc.jpg,(active 1230s),Medieval,painter
Medieval_86,ALTICHIERO da Zevio,https://www.wga.hu/art/a/altichie/2/2crucif1.jpg,(c. 1330-c. 1390),Medieval,painter
Medieval_87,PAOLO DI GIOVANNI FEI,https://www.wga.hu/art/p/paolo/fei/assumpti.jpg,(c. 1345-c. 1411),Medieval,painter
Medieval_88,"SEMITECOLO, Nicoletto",https://www.wga.hu/art/s/semiteco/sebastia.jpg,(active 1353-1370),Medieval,painter
Medieval_89,TURINO VANNI,https://www.wga.hu/art/t/turino/nativity.jpg,(c. 1348-after 1438),Medieval,painter
Medieval_90,GUIDO DI GRAZIANO,https://www.wga.hu/art/g/guido_g/francis.jpg,(active 1275-1300),Medieval,painter
Medieval_91,MARTINO DA VERONA,https://www.wga.hu/art/m/martinov/pellegr2.jpg,(d. 1412),Medieval,painter
Medieval_92,"RITZOS, Andreas",https://www.wga.hu/art/r/ritzos/mother2.jpg,(c. 1422-c. 1492),Medieval,painter
Medieval_93,GIOVANNI DI NICOLA DA PISA,https://www.wga.hu/art/g/giovanni/nicola/anthony.jpg,(doc. 1326-1364),Medieval,painter
Medieval_94,"BUFFALMACCO, Bounamico",https://www.wga.hu/art/b/buffalma/1trium01.jpg,(active 1315-1336),Medieval,painter
Medieval_95,"TORRITI, Jacopo",https://www.wga.hu/art/t/torriti/other/1deesis4.jpg,(active c. 1270-1300),Medieval,painter
Medieval_96,"AKOTANTOS, Angelos",https://www.wga.hu/art/a/akotanto/cardioti.jpg,(?-c. 1457),Medieval,painter
Medieval_97,TOMMASO DA MODENA,https://www.wga.hu/art/t/tommaso/s_albert.jpg,(c. 1325-1379),Medieval,painter
Medieval_98,GIOTTINO,https://www.wga.hu/art/g/giottino/pieta.jpg,(1320/30-after 1369),Medieval,painter
Medieval_99,"GIOVANETTI, Matteo",https://www.wga.hu/art/g/giovanet/saints.jpg,(c. 1300-c. 1368),Medieval,painter
Medieval_100,CENNI di Francesco di Ser Cenni,https://www.wga.hu/art/c/cenni/madchild.jpg,(active 1369-1415),Medieval,painter
Medieval_101,LIPPO DI DALMASIO,https://www.wga.hu/art/l/lippo_d/humili.jpg,(c. 1350-1410),Medieval,painter
Medieval_102,MASTER of Badia a Isola,https://www.wga.hu/art/m/master/badia/maesta.jpg,(active c. 1290-1320),Medieval,painter
Medieval_103,MASTER of St Francis,https://www.wga.hu/art/m/master/francis/zcruci1.jpg,(active c. 1260-1280),Medieval,painter
Medieval_104,MASTER of the Trebon Altarpiece,https://www.wga.hu/art/m/master/trebon/resurrec.jpg,(active 1380-1400),Medieval,painter
Medieval_105,PUCCIO DI SIMONE,https://www.wga.hu/art/p/puccio/polyptyc.jpg,(active 1343-1357),Medieval,painter
Medieval_106,MASTER of the Berswordt Altarpiece,https://www.wga.hu/art/m/master/bersword/berswor1.jpg,(active 1390s),Medieval,painter
Medieval_107,MASTER of the Albertini,https://www.wga.hu/art/m/master/albertin/virgin2.jpg,(active 1310s),Medieval,painter
Medieval_108,UGOLINO DI NERIO,https://www.wga.hu/art/u/ugolino/nerio/1/4prede5.jpg,(active 1317-1339/49),Medieval,painter
Medieval_109,LIPPO DI BENIVIENI,https://www.wga.hu/art/l/lippo_b/virgin_c.jpg,(active 1296-1320),Medieval,painter
Medieval_110,"SAMOSTRZELNIK, Stanisław",https://www.wga.hu/art/s/samostrz/tomicki.jpg,(c. 1490-1541),Medieval,painter
Medieval_111,"ODERISI, Roberto d'",https://www.wga.hu/art/o/oderisid/pieta.jpg,(active c. 1330-1382),Medieval,painter
Medieval_112,GIUNTA PISANO,https://www.wga.hu/art/g/giunta/crucifi2.jpg,(active c. 1229-c. 1254),Medieval,painter
Medieval_113,UGOLINO DI TEDICE,https://www.wga.hu/art/u/ugolino/tedice/crucifix.jpg,(active 1251-1277),Medieval,painter
Medieval_114,NICCOLÒ DI TOMMASO,https://www.wga.hu/art/n/niccolo/tommaso/virgin_c.jpg,(active 1350-1380),Medieval,painter
Medieval_115,"CAVALLINI, Pietro",https://www.wga.hu/art/c/cavallin/lastjudg/23oldtes.jpg,(active 1273-1308),Medieval,painter
Medieval_116,NICCOLÒ DI SEGNA,https://www.wga.hu/art/n/niccolo/segna/virgin_c.jpg,(active 1331-1345),Medieval,painter
Medieval_117,MASTER of Magdalen,https://www.wga.hu/art/m/master/magdalen/magdalen.jpg,(active c. 1265-1290),Medieval,painter
Medieval_118,MASTER of 1310,https://www.wga.hu/art/m/master/1310/madonna.jpg,(active c. 1310),Medieval,painter
Medieval_119,MASTER of 1336,https://www.wga.hu/art/m/master/1336/madonna.jpg,(active 1301-1350),Medieval,painter
Medieval_120,"SERAFINI, Serafino",https://www.wga.hu/art/s/serafini/s_louis1.jpg,(c. 1324-c. 1393),Medieval,painter
Medieval_121,MELIORE,https://www.wga.hu/art/m/meliore/redeemer.jpg,(active 1260-80),Medieval,painter
Medieval_122,"GHISSI, Francescuccio",https://www.wga.hu/art/g/ghissi/dead_chr.jpg,(active 1359-1395),Medieval,painter
Medieval_123,"BARONZIO, Giovanni",https://www.wga.hu/art/b/baronzio/colomba1.jpg,(active c. 1326-c. 1362),Medieval,painter
Medieval_124,GENTILE DA FABRIANO,https://www.wga.hu/art/g/gentile/various/annunci1.jpg,(1370-1427),Medieval,painter
Medieval_125,MASTER of the Pesaro Crucifix,https://www.wga.hu/art/m/master/pesaro/cecilia.jpg,(active 1380-1400),Medieval,painter
Medieval_126,MEMMO DI FILIPPUCCIO,https://www.wga.hu/art/m/memmo/eroticsc.jpg,(active 1288–1324),Medieval,painter
Medieval_127,"MAZZA, Tommaso del",https://www.wga.hu/art/m/mazza_t/madonna.jpg,(active 1375-1391),Medieval,painter
Medieval_128,ANTONIO VENEZIANO,https://www.wga.hu/art/a/antonio/venezian/apostle.jpg,(active 1369-1419),Medieval,painter
Medieval_129,"REGGIO, Jacopino and Bartolomeo da",https://www.wga.hu/art/r/reggio/crucifix.jpg,(active in mid-14th century),Medieval,painter
Medieval_130,MASTER of the Clarisse Panel,https://www.wga.hu/art/m/master/clarisse/virgin7.jpg,(documented 1274-1281),Medieval,painter
Medieval_131,BARNA DA SIENA,https://www.wga.hu/art/b/barna/mystic_m.jpg,(active mid-14th cent.),Medieval,painter
Medieval_132,JACOBELLO DEL BONOMO,https://www.wga.hu/art/j/jacobel/sorrows.jpg,(doc. 1375-1385),Medieval,painter
Medieval_133,"GADDI, Gaddo",https://www.wga.hu/art/g/gaddi/gaddo/virgin_c.jpg,c. 1260-c. 1333),Medieval,painter
Medieval_134,NICCOLÒ DI SER SOZZO,https://www.wga.hu/art/n/niccolo/sozzo/crucifix.jpg,(?-1363),Medieval,painter
Medieval_135,MASTER of the Pietà,https://www.wga.hu/art/m/master/pieta/detroit1.jpg,(active 1350-1375),Medieval,painter
Medieval_136,MASTER of Bigallo,https://www.wga.hu/art/m/master/bigallo/virgin_c.jpg,(active 1225-1255),Medieval,painter
Medieval_137,FRANCESCO DA RIMINI,https://www.wga.hu/art/f/franceso/012/clare1.jpg,(active 1320-1348),Medieval,painter
Medieval_138,JACOPO DI CIONE,https://www.wga.hu/art/j/jacopo/cione/2/polypty2.jpg,(c. 1325-c. 1399),Medieval,painter
Medieval_139,"NICOLAU, Pere",https://www.wga.hu/art/n/nicolau/dominic.jpg,(active 1390-1408),Medieval,painter
Medieval_140,JACOPO del CASENTINO,https://www.wga.hu/art/j/jacopo/casentin/crucifix.jpg,(c. 1297-c. 1349),Medieval,painter
Medieval_141,"LORENZETTI, Ambrogio",https://www.wga.hu/art/l/lorenzet/ambrogio/various/43nichol.jpg,(c. 1290-1348),Medieval,painter
Medieval_142,VITALE DA BOLOGNA,https://www.wga.hu/art/v/vitale/umilta.jpg,(1289/1309-1359/69),Medieval,painter
Medieval_143,DUCCIO di Buoninsegna,https://www.wga.hu/art/d/duccio/maesta/verso_2/verso15a.jpg,(c. 1255-1319),Medieval,painter
Medieval_144,"BROEDERLAM, Melchior",https://www.wga.hu/art/b/broederl/02right1.jpg,(c. 1355- c. 1411),Medieval,painter
Medieval_145,MASTER THEODERIC,https://www.wga.hu/art/m/master/theoderi/karlste.jpg,(active 1350-70),Medieval,painter
Medieval_146,"STARNINA, Gherardo di Jacopo",https://www.wga.hu/art/s/starnina/virgin_c.jpg,(c. 1354-1409/13),Medieval,painter
Medieval_147,MARIOTTO DI NARDO,https://www.wga.hu/art/m/mariotto/madsain1.jpg,(active 1394-1424),Medieval,painter
Medieval_148,"CAPANNA, Puccio",https://www.wga.hu/art/c/capanna/1singing.jpg,(active 1338-1348),Medieval,painter
Medieval_149,"PITTERIO, Giacomo",https://www.wga.hu/art/p/pitterio/virgin_c.jpg,(active 1380-1428),Medieval,painter
Medieval_150,MASTER of the Christ Church Coronation,https://www.wga.hu/art/m/master/christcc/madonna.jpg,(active 1350-1380),Medieval,painter
Medieval_151,CATARINO,https://www.wga.hu/art/c/catarino/st_paul.jpg,(known 1362-1382),Medieval,painter
Medieval_152,"MEMMI, Lippo",https://www.wga.hu/art/m/memmi/various/polypty2.jpg,(c. 1285-c. 1361),Medieval,painter
Medieval_153,"DADDI, Bernardo",https://www.wga.hu/art/d/daddi/pancraz4.jpg,(c. 1280-1348),Medieval,painter
Medieval_154,"BULGARINI, Bartolommeo",https://www.wga.hu/art/b/bulgarin/berenson.jpg,(active 1337-1378),Medieval,painter
Medieval_155,"SALIMBENI, Lorenzo",https://www.wga.hu/art/s/salimbe/oratory/orator16.jpg,(1374-c. 1420),Medieval,painter
Medieval_156,BARTOLO DI FREDI,https://www.wga.hu/art/b/bartolo/stabbot.jpg,(c. 1330-c. 1410),Medieval,painter
Medieval_157,THEOPHANES the Greek,https://www.wga.hu/art/t/theophan/madonna.jpg,(c. 1340-c. 1410,Medieval,painter
Medieval_158,"ALBEREGNO, Jacobello",https://www.wga.hu/art/a/alberegn/triptych.jpg,(died before1397),Medieval,painter
Medieval_159,NICCOLÒ DI PIETRO GERINI,https://www.wga.hu/art/n/niccolo/gerini/virgin_c.jpg,(active 1366-1415),Medieval,painter
Medieval_160,LORENZO VENEZIANO,https://www.wga.hu/art/l/lorenzo/venezian/madonna2.jpg,(active 1356-1372),Medieval,painter
Medieval_161,ANDREA DA FIRENZE,https://www.wga.hu/art/a/andrea/firenze/spanish/5vault.jpg,(active 1343-1377),Medieval,painter
Medieval_162,MASTER of the Isaac Stories,https://www.wga.hu/art/m/master/isaac/isaac22.jpg,(active 1290s),Medieval,painter
Medieval_163,"LORENZETTI, Pietro",https://www.wga.hu/art/l/lorenzet/pietro/2/10carme5.jpg,(1290-1348),Medieval,painter
Medieval_164,ANTONIO DA ATRI,https://www.wga.hu/art/a/antonio/atri/noli_me.jpg,(c. 1350-1433),Medieval,painter
Medieval_165,"PUCCINELLI, Angelo",https://www.wga.hu/art/p/puccine/wing_r.jpg,(active 1380-1407),Medieval,painter
Medieval_166,MASTER Bertram,https://www.wga.hu/art/m/master/bertram/grabow0.jpg,(c. 1345-1415),Medieval,painter
Medieval_167,CECCO DI PIETRO,https://www.wga.hu/art/c/cecco_p/xpanel3.jpg,(active 1370-1399),Medieval,painter
Medieval_168,STEFANO DI SANT'AGNESE,https://www.wga.hu/art/s/stefanos/polyptyc.jpg,(active 1360-80),Medieval,painter
Medieval_169,GIOTTO di Bondone,https://www.wga.hu/art/g/giotto/assisi/lower/crossing/55border.jpg,(1267-1337),Medieval,painter
Medieval_170,GIUSTO de' Menabuoi,https://www.wga.hu/art/g/giusto/various/viboldo1.jpg,(c. 13201391),Medieval,painter
Medieval_171,PSEUDO-JACOPINO di Francesco Bavosi,https://www.wga.hu/art/p/pseudo_j/polyptyc.jpg,(active 1325-1350),Medieval,painter
Medieval_172,PIETRO DA RIMINI,https://www.wga.hu/art/p/pietro/rimini/depositi.jpg,(active 1300-1350),Medieval,painter
Medieval_173,LUCA DI TOMMÈ,https://www.wga.hu/art/l/luca/virgin_c.jpg,(active 1356–1389),Medieval,painter
Medieval_174,GIOVANNI DA RIMINI,https://www.wga.hu/art/g/giovanni/rimini/life_chm.jpg,(active 1292-1336),Medieval,painter
Medieval_175,"NUZI, Allegretto",https://www.wga.hu/art/n/nuzi/saints4.jpg,(c. 1318-c. 1373),Medieval,painter
Medieval_176,UGOLINO-LORENZETTI,https://www.wga.hu/art/u/ugolino/lorenzet/assumpti.jpg,(active 1340-60),Medieval,painter
Medieval_177,MASO DI BANCO,https://www.wga.hu/art/m/maso/various/north_up2.jpg,(active 1320-50),Medieval,painter
Medieval_178,"TRAINI, Francesco",https://www.wga.hu/art/t/traini/triumph.jpg,(active 1321-1363),Medieval,painter
Medieval_179,PIETRO DI DOMENICO DA MONTEPULCIANO,https://www.wga.hu/art/p/pietro/domenic/madonna2.jpg,(active 1418-1422),Medieval,painter
Medieval_180,"GADDI, Agnolo",https://www.wga.hu/art/g/gaddi/agnolo/various/coronati4.jpg,(c. 1350-1396),Medieval,painter
Medieval_181,NARDO DI CIONE,https://www.wga.hu/art/n/nardo/various/st_anna4.jpg,(c. 1320-c. 1365),Medieval,painter
Medieval_182,BARNABA DA MODENA,https://www.wga.hu/art/b/barnaba/virginch.jpg,(active 1361-1383),Medieval,painter
Medieval_183,MASTER of Hohenfurth,https://www.wga.hu/art/m/master/hohenfur/nativity.jpg,(active 1350-70),Medieval,painter
Medieval_184,MASTER of Monte Oliveto,https://www.wga.hu/art/m/master/monte/triptyc2.jpg,(active 1305-1335),Medieval,painter
Medieval_185,PAOLO VENEZIANO,https://www.wga.hu/art/p/paolo/venezian/polyptyx.jpg,(before 1300-c. 1360),Medieval,painter
Medieval_186,THEOPHANES the Cretan,https://www.wga.hu/art/t/theophax/st_paul.jpg,(active 1527-1559),Medieval,painter
Medieval_187,GIOVANNI DAL PONTE,https://www.wga.hu/art/g/giovanni/ponte/godfath1.jpg,(1385-c. 1438),Medieval,painter
Medieval_188,"RUBLYOV, Andrey",https://www.wga.hu/art/r/rublyov/deesis3.jpg,(c. 1360-1430),Medieval,painter
Medieval_189,MASTER of the Palazzo Venezia Madonna,https://www.wga.hu/art/m/master/palazzo/madonna1.jpg,(active c. 1350),Medieval,painter
Medieval_190,GUIDO DA SIENA,https://www.wga.hu/art/g/guido/13altar1.jpg,(active second half 13th cent.),Medieval,painter
Medieval_191,GIOVANNI DI BARTOLOMEO CRISTIANI,https://www.wga.hu/art/g/giovanni/bartolom/standrew.jpg,(c. 1340-c. 1398),Medieval,painter
Medieval_192,MASTER of San Lucchese,https://www.wga.hu/art/m/master/san_lucc/coronat1.jpg,(active 1340-1370),Medieval,painter
Medieval_193,MASTER of San Francesco Bardi,https://www.wga.hu/art/m/master/san_fran/stigmatb.jpg,(active 1240-1270),Medieval,painter
Medieval_194,MASTER of the Borgo Crucifix,https://www.wga.hu/art/m/master/borgo/borgo2.jpg,(active 1250-1270),Medieval,painter
Medieval_195,GUARIENTO d'Arpo,https://www.wga.hu/art/g/guarient/arpo2.jpg,(active 1338-1368),Medieval,painter
Medieval_196,SIMONE DEI CROCEFISSI,https://www.wga.hu/art/s/simone_d/throne.jpg,(c. 1330-1399),Medieval,painter
Medieval_197,SPINELLO ARETINO,https://www.wga.hu/art/s/spinello/spinello/twelve/manett08.jpg,(c. 1345-1410),Medieval,painter
Medieval_198,COPPO DI MARCOVALDO,https://www.wga.hu/art/c/coppo/francis.jpg,(c. 1225-c. 1274),Medieval,painter
Medieval_199,"TSAFOURIS, Nikolaos",https://www.wga.hu/art/t/tsafouri/pieta.jpg,(?-1501),Medieval,painter
Medieval_200,"GADDI, Taddeo",https://www.wga.hu/art/g/gaddi/taddeo/other/5bardi.jpg,(1300-1366),Medieval,painter
Medieval_201,GUGLIELMO VENEZIANO,https://www.wga.hu/art/g/gugliel/triptych.jpg,(active 1352-1382),Medieval,painter
Medieval_202,MARGARITO D'AREZZO,https://www.wga.hu/art/m/margarit/madonna2.jpg,(active 1250-1290),Medieval,painter
Medieval_203,GRIFO DI TANCREDI,https://www.wga.hu/art/g/grifo/triptyc.jpg,(active 1271-1303),Medieval,painter
